sku,desc,wholesale_cost,dims_cm
"PET0002","Wet Cat Food, Tuna & Tuna",0.89,16.1|5.5|3.2
"PET0006","Vegan Adult Cat Food, Chicken & Chicken",1.41,19.9|16.9|0.3
"PET0019","Dry Senior Cat Food, Tuna & Tuna",0.89,18.6|8.7|7.2
"PET0023","Gluten-free Cat Food, Beef & Beef",1.47,17.4|4.4|4.0
"PET0027","Wet Adult Cat Food, Tuna & Tuna",1.03,14.3|14.3|3.0
"COL0037","Noah's Jewelry (green)",28.32,17.4|11.2|5.7
"COL0041","Noah's Ark Model (HO Scale)",2487.35,7.2|4.3|0.4
"DLI0045","Dilled Egg Sandwich",0.97,19.1|17.3|5.3
"COL0065","Noah's Jewelry (mauve)",33.52,19.0|12.2|10.5
"PET0069","Vegan Cat Food, Salmon & Salmon",1.48,18.9|13.5|9.7
"PET0084","Gluten-free Cat Food, Duck & Duck",1.52,15.3|9.7|1.0
"PET0095","Dry Senior Cat Food, Pumpkin & Pumpkin",0.81,18.2|9.2|4.4
"PET0102","Wet Adult Cat Food, Salmon & Salmon",0.99,15.2|2.3|0.2
"TOY0113","Vintage Toy Soldier",16.42,11.7|5.7|5.7
"TOY0127","Mechanical Dreidel",2.80,18.1|7.2|4.0
"PET0129","Vegan Senior Cat Food, Turkey & Turkey",1.41,19.6|12.8|0.3
"PET0143","Gluten-free Adult Cat Food, Shrimp & Shrimp",1.52,15.8|13.4|7.7
"TOY0144","Electric Hebrew Blocks",3.40,12.8|12.6|6.9
"PET0146","Vegan Cat Food, Turkey & Turkey",1.67,14.3|10.9|10.6
"PET0153","Dry Senior Cat Food, Tuna & Tuna",0.99,11.4|8.1|6.1
"PET0159","Gluten-free Adult Cat Food, Tuna & Tuna",1.43,20.0|6.6|5.8
"COL0166","Noah's Action Figure (blue)",13.98,12.1|7.7|7.2
"COL0167","Noah's Bobblehead (blue)",5.36,8.9|5.6|0.6
"PET0181","Senior Mouse Food",0.56,15.8|11.3|5.9
"PET0189","Gluten-free Adult Cat Food, Tuna & Tuna",1.56,17.8|16.2|7.1
"TOY0192","Mini Hebrew Blocks",2.72,13.7|13.5|4.3
"PET0196","Dry Senior Cat Food, Shrimp & Shrimp",1.12,17.9|5.5|3.4
"PET0220","Vegan Cat Food, Turkey & Turkey",1.45,17.2|11.2|11.1
"TOY0224","Toy Stickers",0.75,19.1|17.1|11.5
"DLI0251","Smoked Salmon Salad",1.02,8.6|7.5|1.5
"TOY0271","Mechanical Hebrew Blocks",2.82,3.7|1.0|0.9
"PET0272","Cat",1.17,14.1|9.5|6.5
"PET0288","Dry Senior Cat Food, Turkey & Turkey",1.03,17.7|9.8|6.8
"PET0293","Vegan Cat Food, Tuna & Tuna",1.50,16.9|13.9|9.5
"TOY0293","Noah's Yoyo",5.10,15.2|14.8|12.9
"PET0299","Dry Cat Food, Salmon & Salmon",0.89,6.9|2.8|1.1
"PET0302","Wet Cat Food, Pumpkin & Pumpkin",0.85,13.6|9.0|2.0
"PET0304","Wet Adult Cat Food, Turkey & Turkey",0.99,19.9|5.1|1.0
"PET0305","Vegan Cat Food, Duck & Duck",1.44,10.2|3.5|2.1
"PET0320","Vegan Cat Food, Duck & Duck",1.49,15.3|7.9|2.1
"PET0327","Gluten-free Senior Cat Food, Pumpkin & Pumpkin",1.58,15.2|8.3|4.4
"PET0334","Dry Adult Cat Food, Shrimp & Shrimp",0.80,17.3|14.2|7.8
"PET0341","Vegan Adult Cat Food, Chicken & Chicken",1.35,19.1|7.6|6.5
"PET0355","Dry Cat Food, Chicken & Chicken",0.99,15.5|9.0|7.7
"PET0357","Vegan Cat Food, Tuna & Tuna",1.53,8.9|7.3|0.5
"PET0361","Gluten-free Cat Food, Tuna & Tuna",1.60,14.7|14.2|5.3
"PET0365","Adult Rabbit Food",1.87,15.4|14.9|2.6
"PET0367","Dry Cat Food, Duck & Duck",0.95,16.0|8.2|3.7
"PET0369","Gluten-free Adult Cat Food, Tuna & Tuna",1.29,16.0|13.6|5.8
"PET0373","Gluten-free Adult Cat Food, Shrimp & Shrimp",1.50,19.6|11.6|7.1
"TOY0378","Noah's Silly Bandz",3.10,17.1|13.4|2.4
"PET0389","Vegan Adult Cat Food, Turkey & Turkey",1.36,19.9|9.9|5.1
"TOY0395","Star Wars Ball",6.15,12.5|8.7|5.8
"PET0400","Dry Adult Cat Food, Chicken & Chicken",0.97,15.5|7.0|5.3
"PET0406","Wet Senior Cat Food, Salmon & Salmon",1.17,10.3|9.5|4.1
"TOY0410","Mega Dreidel",3.33,10.7|10.1|0.6
"PET0411","Dry Adult Cat Food, Shrimp & Shrimp",0.89,9.9|3.8|0.5
"PET0417","Gluten-free Adult Cat Food, Beef & Beef",1.57,7.6|5.3|2.2
"PET0429","Senior Hedgehog Food",0.90,2.9|2.5|0.7
"TOY0444","Super Airplane",9.95,16.2|13.9|11.5
"PET0458","Wet Cat Food, Shrimp & Shrimp",0.86,17.7|7.8|4.9
"TOY0467","Transformers Dreidel",4.36,19.0|16.1|12.8
"PET0473","Wet Senior Cat Food, Turkey & Turkey",0.96,17.1|13.6|10.0
"PET0478","Vegan Senior Cat Food, Tuna & Tuna",1.51,15.3|9.3|7.7
"TOY0481","Automatic Board Game",15.64,10.4|9.6|1.8
