sku,desc,wholesale_cost,dims_cm
"TOY0008","Mechanical Board Game",15.9,19.8|5.7|5.5
"PET0009","Wet Adult Cat Food, Duck & Duck",1.11,12.3|7.2|4.5
"CMP0013","Network Printer",135.07,18.6|10.2|8.5
"TOY0014","Vintage Stickers",1.59,19.1|11.0|2.8
"HOM0017","Vintage Widget (azure)",7.62,19.7|2.7|2.6
"COL0030","Noah's Action Figure (azure)",15.70,18.2|15.2|13.6
"HOM0042","Vintage Toaster (red)",30.07,17.4|14.3|3.8
"HOM0048","Electric Bicycle",81.17,18.8|17.9|12.5
"CMP0049","Network Phone",297.28,8.1|7.6|6.9
"CMP0050","Network Router",82.67,18.9|11.9|3.3
"TOY0051","Power Yoyo",5.23,16.1|14.6|1.1
"COL0061","Noah's Jewelry (yellow)",27.89,9.2|2.5|2.3
"TOY0065","Ultra Toy Soldier",10.51,14.7|7.6|3.1
"HOM0079","Vintage Radio (purple)",31.92,18.1|14.0|13.2
"DLI0082","Dilled Cucumber Sandwich",0.84,16.1|5.2|0.8
"TOY0088","Star Wars Ball",6.42,17.1|8.8|6.6
"HOM0088","Vintage Widget (mauve)",6.85,14.8|13.0|10.8
"HOM0112","Toy Radio (red)",14.70,18.1|12.7|7.2
"TOY0116","Mini Doll",10.76,14.3|6.8|6.6
"PET0140","Dog",0.91,14.2|14.0|11.5
"DLI0143","Salted Cabbage Salad",0.72,11.0|10.5|0.0
"HOM0143","Vintage Blender (purple)",72.07,19.3|5.9|2.5
"TOY0165","Automatic Dreidel",2.70,19.0|8.2|5.1
"HOM0170","Toy Widget (blue)",2.88,16.3|14.7|11.1
"DLI0202","Broccoli Kugel",0.94,14.4|10.9|7.5
"HOM0202","Vintage Machine (white)",50.10,18.0|10.4|0.4
"PET0215","Wet Cat Food, Pumpkin & Pumpkin",1.11,9.7|8.9|2.3
"HOM0231","Mini Radio (amber)",20.91,17.5|6.8|3.0
"HOM0251","Electric Timer",7.24,14.0|11.4|1.9
"TOY0255","Ultra Silly Bandz",2.55,10.4|4.8|2.7
"HOM0262","Ultra Timer",7.86,11.8|4.2|3.2
"HOM0263","Automatic Blender",51.60,16.5|9.7|2.5
"TOY0264","Lego Stickers",1.31,19.7|17.2|16.4
"HOM0288","Mini Machine (white)",30.10,10.4|10.1|6.2
"HOM0292","Toy Mixer (mauve)",69.57,18.1|14.0|5.3
"TOY0293","Mechanical Ball",3.28,9.9|7.4|3.8
"HOM0301","Mini Crockpot (magenta)",74.67,11.9|2.7|1.4
"BKY0303","Raspberry Sufganiah",0.89,14.4|13.1|1.9
"PET0315","Senior Ferret Food",0.50,17.3|15.5|11.0
"TOY0320","Manual Dreidel",2.83,19.8|18.0|15.5
"COL0325","Noah's Bobblehead (amber)",5.44,15.7|6.3|1.5
"TOY0331","Tonka Toy Soldier",8.28,19.6|6.2|5.4
"HOM0343","Super Crockpot",73.89,15.0|4.4|1.1
"TOY0359","Super Board Game",15.76,15.3|5.3|2.4
"PET0366","Senior Fish Food",0.73,18.4|9.3|6.2
"HOM0375","Mini Bicycle (mauve)",67.08,17.2|8.5|5.6
"HOM0381","Toy Radio (amber)",13.31,16.4|4.9|3.6
"CMP0401","Wireless Phone",261.89,14.4|9.1|8.7
"HOM0423","Vintage Radio (mauve)",30.60,18.0|13.4|5.6
"TOY0424","Noah's Fidget Toy",0.97,15.9|13.5|5.9
"TOY0453","Mechanical Dreidel",2.71,15.9|10.8|4.7
"TOY0456","Lego Airplane",9.85,15.7|15.0|13.0
"TOY0460","Power Crayons",3.31,14.6|7.1|1.9
"TOY0465","Vintage Ball",4.14,16.0|15.7|9.4
"HOM0483","Mega Blender",47.47,9.0|5.4|0.8
"HOM0492","Super Timer",8.06,14.7|10.5|7.7
"HOM0509","Vintage Timer (orange)",12.71,13.9|12.6|7.6
"COL0510","Noah's Poster (amber)",3.58,15.0|14.2|2.3
"TOY0512","Handmade Train",24.54,13.7|8.1|4.1
